Politician,Company,Published,Traded,Owner,Type,Size,Price of Stock
Michael McCaulRepublicanHouseTX,Prosus NVPROSY:US,18 Sept2024,27 Aug2024,Spouse,sell,1K–15K,$7.40
Michael McCaulRepublicanHouseTX,Mastercard IncMA:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$468.64
Michael McCaulRepublicanHouseTX,Robert Half International IncRHI:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$64.44
Michael McCaulRepublicanHouseTX,Genpact LtdG:US,18 Sept2024,28 Aug2024,Spouse,sell,1K–15K,$39.16
Michael McCaulRepublicanHouseTX,Simpson Manufacturing Co. IncSSD:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$186.11
Michael McCaulRepublicanHouseTX,The Timken CoTKR:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$84.78
Michael McCaulRepublicanHouseTX,Fortinet IncFTNT:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$75.18
Michael McCaulRepublicanHouseTX,Adobe IncADBE:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$559.44
Michael McCaulRepublicanHouseTX,AUTODESK IncADSK:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$256.21
Michael McCaulRepublicanHouseTX,BJ's Wholesale Club Holdings IncBJ:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$84.05
Michael McCaulRepublicanHouseTX,Fiserv IncFI:US,18 Sept2024,26 Sept2024,Spouse,sell,1K–15K,N/A
Michael McCaulRepublicanHouseTX,Uber Technologies IncUBER:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$72.61
Michael McCaulRepublicanHouseTX,Neurocrine Biosciences IncNBIX:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$152.27
Michael McCaulRepublicanHouseTX,Advanced Micro Devices IncAMD:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$149.99
Michael McCaulRepublicanHouseTX,Visa IncV:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$268.21
Michael McCaulRepublicanHouseTX,Netflix IncNFLX:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$688.44
Michael McCaulRepublicanHouseTX,ASML Holding NVASML:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$883.31
Michael McCaulRepublicanHouseTX,Novo Nordisk A/SNVO:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$135.30
Michael McCaulRepublicanHouseTX,Intuit IncINTU:US,18 Sept2024,26 Aug2024,Spouse,sell,1K–15K,$617.12
Michael McCaulRepublicanHouseTX,CITY OF NEW YORKN/A,18 Sept2024,1 Aug2024,Spouse,sell,15K–50K,N/A
Michael McCaulRepublicanHouseTX,Bayer AGBAYRY:US,18 Sept2024,27 Aug2024,Spouse,sell,15K–50K,$7.69
Michael McCaulRepublicanHouseTX,Alphabet IncGOOGL:US,18 Sept2024,26 Aug2024,Spouse,sell,15K–50K,$166.16
Michael McCaulRepublicanHouseTX,Meta Platforms IncMETA:US,18 Sept2024,16 Aug2024,Spouse,sell,15K–50K,$527.42
Michael McCaulRepublicanHouseTX,Discover Financial ServicesDFS:US,18 Sept2024,26 Aug2024,Spouse,sell,15K–50K,$132.74
Michael McCaulRepublicanHouseTX,Hilton Worldwide Holdings IncHLT:US,18 Sept2024,26 Aug2024,Spouse,sell,15K–50K,$215.29
Michael McCaulRepublicanHouseTX,COUNTY OF HARRIS TEXASN/A,18 Sept2024,15 Aug2024,Spouse,sell,15K–50K,N/A
Michael McCaulRepublicanHouseTX,Entegris IncENTG:US,18 Sept2024,9 Aug2024,Spouse,sell,15K–50K,$103.93
Michael McCaulRepublicanHouseTX,Meta Platforms IncMETA:US,18 Sept2024,26 Aug2024,Spouse,sell,15K–50K,$521.12
Michael McCaulRepublicanHouseTX,Safran SASAFRY:US,18 Sept2024,26 Aug2024,Spouse,sell,15K–50K,$54.93
Michael McCaulRepublicanHouseTX,Arista Networks IncANET:US,18 Sept2024,26 Aug2024,Spouse,sell,15K–50K,$344.69
Michael McCaulRepublicanHouseTX,Amazon.com IncAMZN:US,18 Sept2024,28 Aug2024,Spouse,sell,15K–50K,$170.80
